index,x,y,dist_to_next
0,-0.600072,0.250018,1.200071
1,0.599999,0.250218,0.050003
2,0.600008,0.200215,0.025497
3,0.575007,0.195210,0.135007
4,0.575029,0.060203,0.050993
5,0.625034,0.050210,0.038002
6,0.625040,0.012208,0.016971
7,0.613042,0.000205,0.172531
8,0.440511,0.000176,0.000006
9,0.440511,0.000170,0.039994
10,0.440511,0.040164,0.022223
11,0.462590,0.042690,0.022284
12,0.483133,0.051323,0.022284
13,0.500749,0.064970,0.022284
14,0.514240,0.082706,0.022284
15,0.522692,0.103324,0.022284
16,0.525530,0.125426,0.022284
17,0.522562,0.147511,0.022284
18,0.513989,0.168080,0.022284
19,0.500393,0.185735,0.022284
20,0.482698,0.199279,0.022284
21,0.462105,0.207791,0.022284
22,0.440011,0.210694,0.022284
23,0.417917,0.207791,0.022284
24,0.397324,0.199279,0.022284
25,0.379628,0.185735,0.022284
26,0.366033,0.168080,0.022284
27,0.357460,0.147511,0.022284
28,0.354492,0.125426,0.022284
29,0.357330,0.103324,0.022284
30,0.365782,0.082706,0.022284
31,0.379273,0.064970,0.022284
32,0.396889,0.051323,0.022284
33,0.417432,0.042690,0.022223
34,0.439511,0.040164,0.039994
35,0.439511,0.000170,0.219013
36,0.220498,0.000134,0.039994
37,0.220498,0.040128,0.022223
38,0.242577,0.042654,0.022284
39,0.263120,0.051287,0.022284
40,0.280736,0.064934,0.022284
41,0.294227,0.082670,0.022284
42,0.302679,0.103288,0.022284
43,0.305517,0.125390,0.022284
44,0.302549,0.147475,0.022284
45,0.293976,0.168044,0.022284
46,0.280380,0.185699,0.022284
47,0.262685,0.199243,0.022284
48,0.242091,0.207755,0.022284
49,0.219998,0.210658,0.022284
50,0.197904,0.207755,0.022284
51,0.177311,0.199243,0.022284
52,0.159615,0.185699,0.022284
53,0.146020,0.168044,0.022284
54,0.137447,0.147475,0.022284
55,0.134479,0.125390,0.022284
56,0.137317,0.103288,0.022284
57,0.145769,0.082670,0.022284
58,0.159260,0.064934,0.022284
59,0.176876,0.051287,0.022284
60,0.197419,0.042654,0.022223
61,0.219498,0.040128,0.039994
62,0.219498,0.000134,0.219013
63,0.000485,0.000097,0.039994
64,0.000485,0.040091,0.022223
65,0.022564,0.042616,0.022284
66,0.043107,0.051250,0.022284
67,0.060722,0.064897,0.022284
68,0.074214,0.082632,0.022284
69,0.082666,0.103251,0.022284
70,0.085504,0.125353,0.022284
71,0.082536,0.147438,0.022284
72,0.073963,0.168006,0.022284
73,0.060367,0.185662,0.022284
74,0.042672,0.199205,0.022284
75,0.022078,0.207718,0.022284
76,-0.000015,0.210621,0.022284
77,-0.022109,0.207718,0.022284
78,-0.042702,0.199205,0.022284
79,-0.060398,0.185662,0.022284
80,-0.073993,0.168006,0.022284
81,-0.082566,0.147438,0.022284
82,-0.085535,0.125353,0.022284
83,-0.082696,0.103251,0.022284
84,-0.074245,0.082632,0.022284
85,-0.060753,0.064897,0.022284
86,-0.043138,0.051250,0.022284
87,-0.022594,0.042616,0.022223
88,-0.000515,0.040091,0.039994
89,-0.000515,0.000097,0.219513
90,-0.220028,0.000066,0.039994
91,-0.220028,0.040060,0.022223
92,-0.197949,0.042585,0.022284
93,-0.177406,0.051219,0.022284
94,-0.159791,0.064866,0.022284
95,-0.146299,0.082601,0.022284
96,-0.137847,0.103220,0.022284
97,-0.135009,0.125322,0.022284
98,-0.137977,0.147407,0.022284
99,-0.146550,0.167976,0.022284
100,-0.160146,0.185631,0.022284
101,-0.177841,0.199175,0.022284
102,-0.198435,0.207687,0.022284
103,-0.220528,0.210590,0.022284
104,-0.242622,0.207687,0.022284
105,-0.263216,0.199175,0.022284
106,-0.280911,0.185631,0.022284
107,-0.294507,0.167976,0.022284
108,-0.303079,0.147407,0.022284
109,-0.306048,0.125322,0.022284
110,-0.303209,0.103220,0.022284
111,-0.294758,0.082601,0.022284
112,-0.281266,0.064866,0.022284
113,-0.263651,0.051219,0.022284
114,-0.243107,0.042585,0.022223
115,-0.221028,0.040060,0.039994
116,-0.221028,0.000066,0.218013
117,-0.439041,0.000029,0.039994
118,-0.439041,0.040023,0.022225
119,-0.416960,0.042548,0.022286
120,-0.396415,0.051183,0.022286
121,-0.378798,0.064832,0.022286
122,-0.365305,0.082568,0.022286
123,-0.356852,0.103189,0.022286
124,-0.354014,0.125293,0.022286
125,-0.356982,0.147381,0.022286
126,-0.365556,0.167951,0.022286
127,-0.379153,0.185608,0.022286
128,-0.396850,0.199153,0.022286
129,-0.417446,0.207667,0.022286
130,-0.439541,0.210570,0.022286
131,-0.461637,0.207667,0.022286
132,-0.482233,0.199153,0.022286
133,-0.499930,0.185608,0.022286
134,-0.513527,0.167951,0.022286
135,-0.522101,0.147381,0.022286
136,-0.525069,0.125293,0.022286
137,-0.522231,0.103189,0.022286
138,-0.513778,0.082568,0.022286
139,-0.500285,0.064832,0.022286
140,-0.482668,0.051183,0.022286
141,-0.462123,0.042548,0.022225
142,-0.440041,0.040023,0.039994
143,-0.440041,0.000029,0.172989
144,-0.613031,0.000000,0.016972
145,-0.625034,0.011999,0.038002
146,-0.625040,0.050001,0.050993
147,-0.575039,0.060010,0.135009
148,-0.575062,0.195018,0.025496
149,-0.600063,0.200015,0.050003
